geoid,name,households,working_age_hh,mhi,wahi,ratio,share_65plus_pct,share_under25_pct,reliable,flag,gap_anchored_mhi,gap_anchored_wahi,gap_anchored_ami
48301,Loving County,27,3,51250,175000,3.1818,88.9,0.0,0,0,9,0,6
1882862,West Lafayette city,15062,5921,34891,80190,2.2975,14.0,46.7,1,1,-647,-959,-459
3628618,Geneseo village,2027,1010,46589,98944,2.0692,22.3,27.9,0,0,-164,-48,-27
2639360,Houghton city,2251,946,43456,87360,2.0544,18.9,39.1,0,0,-94,-68,-73
48243,Jeff Davis County,966,486,59286,114286,1.9616,49.7,0.0,0,0,-48,14,10
4862600,Robstown city,3784,2185,34436,65625,1.9375,41.2,1.0,0,0,-44,-37,103
4139150,King City city,2744,1017,63684,120423,1.9331,62.6,0.3,1,1,-23,-110,-112
2624120,East Lansing city,13850,5968,45687,88000,1.9251,18.5,38.4,1,1,-1022,-560,-196
3707080,Boone town,5975,2231,30065,55839,1.8569,14.5,48.1,0,0,-176,-752,-346
5107784,Blacksburg town,13840,7524,50182,91009,1.8167,15.0,30.6,1,1,-1391,-556,-389
48155,Foard County,437,255,61563,109028,1.7955,36.8,4.8,0,0,25,3,7
0670686,Seal Beach city,12837,5031,85964,151394,1.7538,60.0,0.8,1,1,76,3,201
31091,Hooker County,327,164,49464,86310,1.7338,32.7,17.1,0,0,18,12,8
4215192,Collegeville borough,1614,1009,91466,161007,1.7308,35.8,1.7,1,1,71,-45,9
2136604,Highland Heights city,2528,1358,53275,94665,1.7009,30.7,15.6,0,0,-148,152,92
1740884,Lake Barrington village,2384,1080,141958,239525,1.6975,54.7,0.0,0,0,-36,-56,-6
1267675,South Pasadena city,3363,920,53075,91267,1.6907,71.6,1.0,0,0,141,-232,-135
2153418,Morehead city,1854,1024,36741,63038,1.6891,17.5,27.3,0,0,-127,72,58
3659564,Potsdam village,2483,1329,34546,57318,1.6738,29.0,17.5,0,0,-166,-112,106
5356625,Pullman city,12682,6707,46812,78467,1.673,11.3,35.8,1,1,-1690,43,-3
3959234,Oxford city,6082,2820,40764,67182,1.6387,18.0,35.6,0,0,-303,-98,-73
4863020,Roma city,3299,1950,24579,40207,1.638,36.0,4.8,0,0,-104,-67,65
0668154,San Luis Obispo city,20441,9793,73685,121117,1.6372,24.0,28.1,1,1,-1369,-540,70
30075,Powder River County,708,376,67045,106985,1.6338,43.4,3.5,0,0,51,10,12
5586925,Whitewater city,5229,2440,54969,89227,1.606,16.8,36.5,1,1,21,275,149
1746786,Marengo city,2719,1727,73523,113122,1.6043,30.1,6.4,0,0,61,34,41
38069,Pierce County,1854,974,59365,94444,1.6009,35.1,12.4,0,0,67,11,11
4514950,Clemson city,7868,3657,49520,79035,1.6006,22.2,31.3,0,0,-107,249,-75
2615020,Chelsea city,2764,1397,72098,109976,1.5998,48.8,0.7,0,0,-247,13,-22
2689260,Zeeland city,2396,1408,52628,85553,1.5893,37.0,4.2,0,0,-16,-13,-8
1884950,Winona Lake town,1820,1216,82188,140698,1.5887,25.3,7.9,0,0,31,15,24
4271776,Somerset borough,2845,1628,47102,73220,1.5883,35.2,7.6,0,0,97,25,60
5130208,Galax city,2763,1661,38675,61422,1.5851,33.8,6.1,0,0,-73,141,130
51640,Galax city,2763,1661,38675,61422,1.5851,33.8,6.1,0,0,-73,141,130
3902736,Athens city,7238,3820,38204,61985,1.5837,13.1,34.1,0,0,-556,-367,-28
0150192,Monroeville city,2413,1259,32513,52331,1.577,35.8,12.0,0,0,89,101,91
0546580,Monticello city,3688,2244,27238,41650,1.5755,28.2,11.0,0,0,-279,-51,202
2633280,Grand Blanc city,3471,2270,68052,107320,1.5743,27.6,7.0,0,0,244,28,119
2261615,Ponchatoula city,3449,2263,51161,79136,1.5722,33.7,0.7,0,0,-52,120,109
0416410,Cottonwood city,6592,2899,48448,77387,1.5682,51.3,4.8,1,1,-55,115,146
4753000,Newport city,3066,1798,31250,49714,1.5678,31.1,10.2,0,0,114,-37,104
4768540,Signal Mountain town,3351,2016,141008,213678,1.5577,39.2,0.6,0,0,21,3,42
0513450,Cherokee Village city,2224,1151,37326,61374,1.5572,46.4,1.9,0,0,7,25,49
4815976,College Station city,46214,26888,50900,79068,1.5444,11.7,30.1,1,1,-2684,-872,-131
53075,Whitman County,18721,10488,55406,85000,1.5413,19.3,24.7,1,1,-601,169,91
3912168,Carlisle city,2228,1241,71136,111024,1.5412,33.6,10.7,1,1,66,30,31
49031,Piute County,555,228,48393,73889,1.5389,58.9,0.0,0,0,0,6,3
3917036,Columbiana city,3458,1912,54688,85852,1.5383,42.6,2.1,0,0,267,72,61
3913554,Chardon city,2156,1352,86613,131545,1.5337,32.2,5.1,0,0,36,20,9
2418750,College Park city,9007,4847,69721,108061,1.528,15.0,31.2,0,0,-418,-472,-158
1842462,Lawrenceburg city,2294,1469,51250,77969,1.5272,31.8,4.1,0,0,-3,46,29
4572430,Travelers Rest city,2423,1440,54583,85690,1.5244,36.5,4.0,0,0,-62,53,30
